day,cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,10
48,20
49,33
50,49
51,52
52,64
53,111
54,140
55,142
56,187
57,202
58,217
59,230
60,307
61,380
62,462
63,552
64,636
65,707
66,803
67,1075
68,1418
69,1546
70,2084
71,2311
72,2633
73,3018
74,3094
75,3246
76,3660
77,3764
78,3870
79,4076
80,4195
81,4428
82,4648
83,4932
84,5223
85,5453
86,5660
87,5878
88,6087
89,6259
90,6459
91,6599
92,6710
93,6981
94,7192
95,7294
96,7579
97,7777
98,7958
99,8212
100,8488
101,8772
102,8928
103,9223
104,9485
105,9684
106,10004
107,10343
108,10463
109,10610
110,10794
111,11086
112,11350
113,11618
114,11876
115,12091
116,12305
117,12513
118,12718
119,12942
120,13221
121,13434
122,13597
123,13777
124,14035
125,14319
126,14669
127,15588
128,16634
129,17224
130,18086
131,18638
132,18997
133,19748
134,20382
135,20626
136,21340
137,21895
138,22474
138,22992
140,23732
141,24175
142,24787
143,25392
144,25930
145,26420
146,26781
147,27238
148,27799
149,28459
150,29400
151,30052
152,30682
153,31825
154,32295
155,33069
156,34073
157,34803
158,35455
159,36438
160,37514
161,38511
162,38805
163,40336
164,41830
165,44254
166,46333
167,47873
168,50359
169,51754
170,52914
171,54222
172,56259
173,57006
174,57545
175,58850
176,61266
177,63001
178,65304
179,67456
180,68898
181,70764
182,72269
183,74390
184,76444
185,78412
186,80448
187,82040
188,83673
189,85486
190,89374
191,93354
192,98232
193,103185
194,106330
195,112593
196,115980
197,119460
198,122754
199,126885
200,129913
201,136638
202,139538
203,143749
204,147526
205,153660
206,157918
207,161253
208,164474
209,169213
210,173774
211,178022
212,182365
213,187249
214,189601
215,194252
216,197164
217,202361
218,205581
219,209544
320,213131
221,217396
222,220819
223,224264
224,226440
225,228403
226,232072
227,234570
228,237365
229,238727
330,241987
231,245143
232,248947
233,252964
234,257863
235,261216
236,265888
237,269407
238,272934
239,276289
340,279526
241,283460
242,286743
243,290190
244,291789
245,294591
246,296755
247,299361
248,301256
249,304226
250,307288
251,309303
252,311694
253,314079
254,316678
255,319330
256,322497
257,324762
258,326833
259,329637
260,331869
261,334770
262,336926
263,339341
264,342816
265,344713
266,346536
267,348698
268,351750
269,354338
270,356618
271,359169
272,360775
273,362243
274,363888
275,365799
276,367819
277,370028
278,371630
279,373144
280,375180
281,376935
282,378933
283,380729
284,383113
285,385400
286,387161
287,388137
288,389725
289,391809
290,393961
291,396395
292,398449
293,399749
294,401416
295,402820
296,404713
297,406337
298,407838
299,409574
300,410718
301,412097
302,413430
303,415067
304,416852
305,418818
306,420614
307,421722
308,422915
309,424297
310,425918
311,427797
312,429864
313,431630
314,432925
315,434357
316,435413
317,436345
318,438069
319,439834
320,441399
321,442785
322,444164
323,445540
324,447039
325,448331
326,449400
327,450733
328,451839
329,452988
330,454447
331,456562
332,458044
333,459789
334,461505
335,462815
336,464004
337,465724
338,467601
339,469005
340,469886
341,470650
342,471526
343,472532
344,474064
345,475820
346,476916
347,477807
348,478761
349,479693
350,480737
351,482083
352,483852
353,485797
354,487690
355,489736
356,491258
357,492700
358,494605
359,496646
360,498691
371,500577
372,502736
373,504084
374,505939
375,507717
376,509887
377,511679
378,513619
379,514996
380,516166
381,518407
382,519575
383,521413
384,523516
385,525618
386,527272
387,528853
388,530118
389,531699
390,533587
391,535521
392,537310
393,538995
394,540227
395,541560
396,543282
397,545300
398,547255
399,549176
400,550860
401,552246
402,553424
403,555163
404,557058
405,559288
406,561169
407,563456
408,564865
409,566420
410,568680
411,571327
412,574247
413,576352
414,578381
415,580442
416,582223
417,584667
418,587704
419,591138
420,594412
421,597763
422,600428
423,603308
424,607048
425,611618
426,616611
427,621498
428,626893
429,631320
430,635698
431,640984
432,648066
433,656056
434,663794
435,671792
436,677653
437,684311
438,693048
439,702856
440,712442
431,721892
432,731894
433,741181
434,747288
435,756199
436,771497
437,784043
438,795051
439,803398
440,812760
441,819164
442,828366
443,840554
444,853209
445,864868
446,876225
447,884783
448,892880
449,904285
450,914971
451,926052
452,936133
453,945745
454,953106
455,962307
456,876225
457,971049
458,979740
459,989380
460,997523
461,1006428
462,1013618
463,1020495
464,1028738
465,1037460
466,1046653
467,1054983
468,1062225
469,1067892
470,1073555
471,1080172
472,1087885
473,1094849
474,1101990
475,1108826
476,1113547
477,1118359
478,1124724
479,1131467
480,1138187
481,1143963
482,1149925
483,1154388
484,1159071
485,1165155
486,1171403
487,1178217
488,1179812
489,1184706
490,1188672
491,1193976
492,1200430
493,1209154
494,1216582
495,1223627
496,1230301
497,1235467
498,1240716
499,1247899
500,1255337
501,1262273
502,1269478
503,1276004
504,1280773
