country,region,total,new,deaths,transmission classification
Afghanistan,Eastern Mediterranean,85892,1842,3356,Community Transmission
Albania,Europe,132415,18,2452,Cluster of Cases
Algeria,Africa,1132034,387,3544,Community Transmission
American Samoa,Western Pacific,0,0,0,No Cases
Andorra,Europe,1,10,0,Community Transmission
Angola,Africa,13791,151,127,Community Transmission
Anguilla,Americas,109,0,0,Clusters of Cases
Antigua and Barbuda,Americas,1263,0,42,Clusters of Cases
Argentina,Americas,4008771,31137,82667,Community Transmission
Armenia,Europe,223460,76,4478,Community Transmission
Aruba,Americas,11604,5,107,Community Transmission
Australia,Western Pacific,30210,6,910,Cluster of Cases
Austria,Europe,643651,328,10388,Community Transmission
Azerbaijan,Europe,334917,68,4948,Cluster of Cases
Bahamas,Americas,12027,0,232,Cluster of Cases
Bahrain,Eastern Mediterranean,254920,1041,1171,Community Transmission
Bangladesh,South-East Asia,817819,2537,12949,Community Transmission
Barbados,Americas,4032,0,47,Community Transmission
Belarus,Europe,402853,834,2939,Community Transmission
Belgium,Europe,1073358,3,25061,Community Transmission
Belize,Americas,12109,10,325,Community Transmission
Benin,Africa,8109,27,102,Community Transmission
Bermuda,Americas,2497,0,33,Community Transmission
Bhutan,South-East Asia,1739,15,1,Cluster of Cases
Bolivia,Americas,392975,2981,15177,Community Transmission
Bonaire,Americas,1590,0,17,Community Transmission
Bosnia and Herzegovina,Europe,204512,57,9467,Community Transmission
Botswana,Africa,60648,0,885,Community Transmission
Brazil,Americas,17037129,52911,2378,Community Transmission
British Virgin Islands,Americas,290,0,1,Clusters of Cases
Brunei,Western Pacific,246,0,3,Sporadic Cases
Bulgaria,Europe,419990,131,17872,Clusters of Cases
Burkina Faso,Africa,13454,0,167,Community Transmission
Burundi,Africa,4960,18,8,Community Transmission
Cabo Verde,Africa,31339,114,270,Community Transmission
Cambodia,Western Pacific,36240,729,289,Sporadic Cases
Cameroon,Africa,79904,0,1302,Community Transmission
Canada,Americas,1395410,1265,25791,Community Transmission
Cayman Islands,Americas,592,1,2,Sporadic Cases
Central African Republic,Africa,7101,0,98,Community Transmission
Chad,Africa,4942,0,174,Community Transmission
Chile,Americas,1445770,5353,30141,Community Transmission
China,Western Pacific,115229,301,5179,Cluster of Cases
Colombia,Americas,3611602,18586,92923,Community Transmission
Comoros,Africa,3961,1,146,Community Transmission
Congo,Africa,11920,0,155,Community Transmission
Cook Islands,Western Pacific,0,0,0,No Cases
Costa Rica,Americas,33820,1900,4251,Community Transmission
Croatia,Europe,358061,0,8103,Community Transmission
Cuba,Americas,152420,1161,1045,Community Transmission
Curacao,Americas,12281,1,123,Community Transmission
Cyprus,Europe,72996,77,367,Cluster of Cases
Czechia,Europe,1664649,267,30211,Community Transmission
Cote d'lvoire,Africa,47547,36,306,Community Transmission
Denmark,Europe,288229,904,2520,Community Transmission
Democratic Republic of Congo,Africa,34226,310,825,Community Transmission
Djibouti,Eastern Mediterranean,11567,1,154,Cluster of Cases
Dominica,Americas,188,0,0,Cluster of Cases
Dominican Republic,Americas,304428,1440,3686,Community Transmission
Ecuador,Americas,433870,885,20903,Community Transmission
Egypt,Eastern Mediterranean,270292,765,15471,Cluster of Cases
El Salvador,Americas,74983,842,2279,Community Transmission
Equatorial Guinea,Africa,8640,0,118,Community Transmission
Eritrea,Africa,4690,93,14,Community Transmission
Estonia,Europe,130364,54,1266,Cluster of Cases
Eswatini,Africa,18694,14,676,Community Transmission
Ethiopia,Africa,273398,223,4226,Community Transmission
Falkland Islands,Americas,63,0,0,Sporadic Cases
Faroe Islands,Europe,752,5,1,Sporadic Cases
Fiji,Western Pacific,880,35,4,Sporadic Cases
Finland,Europe,93520,126,964,Clusters of Cases
France,Europe,5621275,5358,109336,Community Transmission
French Guinea,Americas,25292,199,130,Community Transmission
French Polynesia,Western Pacific,18914,12,142,Sporadic Cases
Gabon,Africa,24696,45,156,Community Transmission
Gambia,Africa,6008,6,180,Community Transmission
Georgia,Europe,351954,705,4996,Community Transmission
Germany,Europe,3709129,3187,89585,Community Transmission
Ghana,Africa,94369,141,789,Community Transmission
Gibraltar,Europe,4302,2,94,Clusters of Cases
